Year,home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,Round,_home_team_norm,_away_team_norm,Home_Avg_Squad_Age,Away_Avg_Squad_Age,Home_Avg_Experience_Caps,Away_Avg_Experience_Caps,Home_FIFA_Rank,Away_FIFA_Rank,FIFA_Rank_Diff,Age_Diff,Exp_Diff
2022,Morocco,Croatia,0,0.4,,0,0.5,,Group stage,Morocco,Croatia,26.31,27.42,20.04,37.65,,9.0,,-1.110000000000003,-17.61
2022,Germany,Japan,1,3.1,,2,1.5,,Group stage,Germany,Japan,26.85,27.81,35.23,35.15,8.0,27.0,19.0,-0.9599999999999973,0.0799999999999983
2022,Spain,Costa Rica,7,3.5,,0,0.0,,Group stage,Spain,Costa Rica,25.38,27.7,28.19,39.96,2.0,25.0,23.0,-2.3200000000000003,-11.77
2022,Belgium,Canada,1,0.8,,0,2.4,,Group stage,Belgium,Canada,27.88,27.08,52.19,31.62,6.0,,,0.8000000000000007,20.569999999999997
2022,Argentina,Saudi Arabia,1,2.2,,2,0.1,,Group stage,Argentina,Saudi Arabia,27.81,26.43,34.12,48.17,6.0,28.0,22.0,1.379999999999999,-14.050000000000004
2022,Denmark,Tunisia,0,1.4,,0,0.9,,Group stage,Denmark,Tunisia,27.23,28.08,38.62,37.88,11.0,26.0,15.0,-0.8499999999999979,0.7399999999999949
2022,Mexico,Poland,0,0.7,,0,0.9,,Group stage,Mexico,Poland,28.58,27.04,50.65,34.5,8.0,31.0,23.0,1.5399999999999991,16.15
2022,France,Australia,4,4.0,,1,0.5,,Group stage,France,Australia,26.69,27.23,34.31,20.65,1.0,26.0,25.0,-0.5399999999999991,13.660000000000004
2022,England,IR Iran,6,2.1,,2,1.4,,Group stage,England,Iran,26.54,28.92,31.54,39.2,3.0,,,-2.3800000000000026,-7.660000000000004
2022,Senegal,Netherlands,0,0.9,,2,0.7,,Group stage,Senegal,Netherlands,26.04,26.69,20.85,26.27,32.0,5.0,-27.0,-0.6500000000000021,-5.419999999999998
2022,United States,Wales,1,0.8,,1,1.5,,Group stage,USA,Wales,28.83,26.54,50.13,38.08,,10.0,,2.289999999999999,12.050000000000004
2022,Qatar,Ecuador,0,0.3,,2,1.2,,Group stage,Qatar,Ecuador,27.12,25.62,56.62,24.27,,29.0,,1.5,32.349999999999994
2018,France,Croatia,4,1.1,,2,1.1,,Final,France,Croatia,26.09,27.83,26.04,40.3,1.0,13.0,12.0,-1.7399999999999984,-14.259999999999998
2018,Belgium,England,2,1.5,,0,1.0,,Third-place match,Belgium,England,27.57,26.09,47.26,20.96,3.0,8.0,5.0,1.4800000000000004,26.299999999999997
2018,Croatia,England,2,1.7,,1,0.6,,Semi-finals,Croatia,England,27.83,26.09,40.3,20.96,13.0,8.0,-5.0,1.7399999999999984,19.339999999999996
2018,France,Belgium,1,1.7,,0,0.4,,Semi-finals,France,Belgium,26.09,27.57,26.04,47.26,1.0,3.0,2.0,-1.4800000000000004,-21.22
2018,Sweden,England,0,0.5,,2,1.0,,Quarter-finals,Sweden,England,28.17,26.09,31.3,20.96,17.0,8.0,-9.0,2.080000000000002,10.34
2018,Russia,Croatia,2,1.0,3.0,2,1.7,4.0,Quarter-finals,Russia,Croatia,28.91,27.83,28.52,40.3,24.0,13.0,-11.0,1.0800000000000018,-11.779999999999998
2018,Uruguay,France,0,0.9,,2,0.5,,Quarter-finals,Uruguay,France,28.09,26.09,42.26,26.04,21.0,1.0,-20.0,2.0,16.22
2018,Brazil,Belgium,1,2.8,,2,0.5,,Quarter-finals,Brazil,Belgium,28.61,27.57,29.87,47.26,1.0,3.0,2.0,1.0399999999999991,-17.389999999999997
2018,Sweden,Switzerland,1,1.3,,0,0.7,,Round of 16,Sweden,Switzerland,28.17,27.26,31.3,37.35,17.0,14.0,-3.0,0.9100000000000001,-6.050000000000001
2018,Colombia,England,1,0.6,3.0,1,2.1,4.0,Round of 16,Colombia,England,28.35,26.09,31.0,20.96,12.0,8.0,-4.0,2.2600000000000016,10.04
2018,Brazil,Mexico,2,2.7,,0,0.7,,Round of 16,Brazil,Mexico,28.61,29.17,29.87,60.3,1.0,8.0,7.0,-0.5600000000000023,-30.429999999999996
2018,Belgium,Japan,3,2.5,,2,0.7,,Round of 16,Belgium,Japan,27.57,28.52,47.26,45.0,3.0,18.0,15.0,-0.9499999999999993,2.259999999999998
2018,Spain,Russia,1,1.8,3.0,1,1.0,4.0,Round of 16,Spain,Russia,28.43,28.91,42.22,28.52,11.0,24.0,13.0,-0.4800000000000004,13.7
2018,Croatia,Denmark,1,2.5,3.0,1,0.9,2.0,Round of 16,Croatia,Denmark,27.83,27.09,40.3,26.57,13.0,15.0,2.0,0.7399999999999984,13.729999999999997
2018,France,Argentina,4,2.2,,3,0.8,,Round of 16,France,Argentina,26.09,29.52,26.04,37.35,1.0,6.0,5.0,-3.4299999999999997,-11.310000000000002
2018,Uruguay,Portugal,2,0.6,,1,1.0,,Round of 16,Uruguay,Portugal,28.09,28.43,42.26,39.52,21.0,6.0,-15.0,-0.33999999999999986,2.739999999999995
2018,Japan,Poland,0,0.7,,1,1.4,,Group stage,Japan,Poland,28.52,28.26,45.0,35.48,18.0,5.0,-13.0,0.259999999999998,9.520000000000003
2018,Senegal,Colombia,0,0.5,,1,0.3,,Group stage,Senegal,Colombia,27.09,28.35,26.61,31.0,17.0,12.0,-5.0,-1.2600000000000016,-4.390000000000001
2018,England,Belgium,0,0.9,,1,1.3,,Group stage,England,Belgium,26.09,27.57,20.96,47.26,8.0,3.0,-5.0,-1.4800000000000004,-26.299999999999997
2018,Panama,Tunisia,1,0.6,,2,2.1,,Group stage,Panama,Tunisia,28.83,26.48,58.48,20.17,,26.0,,2.349999999999998,38.309999999999995
2018,Korea Republic,Germany,2,1.7,,0,2.7,,Group stage,South Korea,Germany,27.13,27.09,42.09,41.09,,2.0,,0.03999999999999915,1.0
